coexist,elev,catcharea,lakearea,maxdepth,temp
1,-1.28672156,-0.279679007,-0.173610041,0.790337129,1.571767396
1,-1.520152031,0.044925682,-0.147381064,0.403306461,1.31960497
1,-1.309166797,-0.281667455,-0.169706194,-0.306249764,1.099463169
1,-0.222817293,-0.274829794,-0.147015078,0.33880135,-0.717707333
1,-0.75701395,0.041409325,-0.045454038,-0.273997208,0.334970733
1,-0.164459675,1.519725753,1.823513092,4.596138699,-1.838429229
1,-1.021867755,0.738525676,0.605390586,0.887094796,1.31960497
1,1.038605065,-0.032022387,-0.180258782,-0.177239541,-1.738364774
1,1.900502192,-0.292682483,-0.188066478,-0.661027876,-0.549599049
1,0.181196985,0.927319894,0.31955573,3.69306714,-0.673678973
1,1.08349554,-0.284062262,-0.189152235,-0.741659265,-1.738364774
1,1.860100764,-0.248508591,-0.188798449,-0.725532988,-0.797758897
1,-0.128547295,3.284942208,0.851881975,3.306036472,-0.673678973
1,-1.147561086,-0.271383873,-0.144270185,1.499893354,1.571767396
1,-0.029788249,5.141681461,0.80302288,0.096907182,-1.270063124
1,1.963348857,-0.261517485,-0.184894601,-0.693280432,-0.797758897
1,1.110429825,-0.059806481,-0.085346483,0.467811572,-1.738364774
1,-0.195883008,-0.146507158,-0.17903883,-0.080481874,-0.45753975
1,1.815210288,-0.275544985,-0.187334506,-0.499765098,-0.797758897
1,0.598678406,0.235399516,0.197194501,0.822589685,-1.534233285
1,-1.412414891,-0.197870888,-0.176171942,-0.11273443,1.571767396
1,1.806232193,-0.290358111,-0.185321585,-0.532017654,-0.797758897
1,-1.057780135,0.625222055,0.867009386,0.33880135,1.367635908
1,2.106998378,-0.281320696,-0.184223628,0.145286016,-0.821774366
1,-0.590919191,-0.280686776,-0.148113036,0.725832018,0.743233709
1,-0.537050621,-0.258532104,-0.145795126,0.209791127,0.611148629
1,-0.815371568,-0.286939281,-0.180380777,-0.209492097,0.427030032
1,1.536889341,-0.253265696,-0.184650611,-0.661027876,-0.797758897
1,1.043094112,-0.037922715,-0.18648054,-0.677154154,-1.738364774
1,1.833166479,-0.276596099,-0.125543915,0.080780904,-0.797758897
1,0.244043651,1.99130223,1.190906757,6.30552415,-1.330101797
1,0.405649362,0.283891645,-0.009343446,0.33880135,-1.994529778
1,1.810721241,-0.272917199,-0.18440662,-0.338502319,-0.797758897
1,1.10145173,-0.284235641,-0.175561965,-0.499765098,-1.738364774
1,0.607656501,-0.203381111,-0.168852227,-0.241744652,-0.933846556
1,1.882546002,-0.251461464,-0.18851176,-0.661027876,-0.797758897
1,-0.379933957,6.250216957,2.536453295,2.144944468,-0.41351139
1,1.913969334,-0.258515849,-0.188188473,-0.661027876,-0.797758897
1,1.810721241,-0.290385202,-0.187273509,-0.499765098,-0.797758897
1,-1.295699655,3.220872998,11.31456004,1.951429134,1.323607548
1,1.671560767,-0.238463406,-0.188877746,-0.628775321,-0.797758897
1,0.661525071,-0.285227156,-0.185992559,-0.596522765,-0.849792414
1,-0.1195692,-0.280459215,-0.163606431,0.11303346,0.158857292
1,-1.484239651,-0.017989469,-0.127373844,-0.032103041,1.555757083
1,1.828677431,-0.292162344,-0.187456502,-0.499765098,-0.797758897
1,-1.403436796,-0.263262118,-0.106756648,-0.096608152,0.378999093
1,1.797254098,-0.251916585,-0.17056016,-0.048229318,-0.797758897
1,1.599736007,-0.271221329,-0.177269899,-0.048229318,-0.797758897
1,-0.716612522,-0.220556536,-0.168425244,-0.048229318,1.415666847
1,-0.640298714,-0.272267025,-0.14414819,1.564398466,0.663182145
1,-0.510116336,-0.293040078,-0.184955599,-0.370754875,-0.041271618
1,0.329335554,1.003872441,0.218543669,1.274125464,-1.674323522
1,1.011670779,-0.278644147,-0.165680351,-0.612649043,-1.966511731
1,-0.967999184,6.190433476,1.851937984,3.273783916,0.551109956
1,-0.99493347,-0.275577494,-0.176964911,0.403306461,0.63116152
1,-0.3934011,-0.286359542,-0.170255172,0.274296238,-0.549599049
1,-0.227306341,-0.026344203,0.317359816,0.596821795,-0.345467561
1,1.06553935,-0.052741259,-0.18672453,-0.677154154,-1.738364774
1,-0.676211095,-0.27898007,-0.164643391,0.532316684,0.731225975
1,-1.259787274,-0.268577289,-0.15390781,0.822589685,1.047429652
1,-1.618911077,0.011414641,0.002795081,0.741958296,1.65181896
1,0.347291744,-0.207374262,-0.188310468,-0.644901598,-0.849792414
1,-1.264276322,-0.199182072,-0.068023158,0.532316684,1.555757083
1,1.007181732,-0.282978639,-0.189091238,-0.741659265,-1.738364774
1,-1.363035368,-0.115352996,-0.161776503,-0.015976763,1.783904041
1,1.011670779,-0.288131266,-0.181966716,-0.725532988,-1.966511731
1,0.266488888,-0.28349336,-0.184040635,-0.403007431,-0.933846556
